slovo, a, b, c, d, e, f
B, 5.71, 33.22, 74.15, 98.66, 11.42, 9.333
C, 87.45, 89.81, 91.09, 12.02, 174.9, 6.916
C, 42.45, 3.64, 1.78, 22.36, 84.9, 5.43
A, 54.11, 26.05, 66.73, 73.65, 108.22, 54.11
A, 95.44, 89.2, 44.31, 2.17, 190.88, 95.44
C, 9.51, 26.27, 92.58, 74.5, 19.02, 6.286
C, 45.37, 61.6, 57.59, 83.59, 90.74, 7.607
C, 65.41, 48.2, 67.5, 86.57, 130.82, 5.914
C, 56.77, 15.4, 10.12, 80.23, 113.54, 5.626
C, 42.29, 41.93, 100.92, 100.05, 84.58, 5.705
B, 50.03, 3.73, 95.86, 72.18, 100.06, 5.06
B, 41.34, 61.66, 65.19, 70.1, 82.68, 7.533
A, 45.01, 40.38, 66.33, 64.95, 90.02, 45.01
A, 10.54, 21.92, 39.01, 95.61, 21.08, 10.54
C, 38.47, 40.67, 90.51, 78.06, 76.94, 5.809
A, 50.93, 52.53, 19.82, 19.42, 101.86, 50.93
A, 37.69, 64.64, 16.42, 81.45, 75.38, 37.69
C, 46.01, 100.88, 73.92, 52.83, 92.02, 10.753
A, 42.54, 86.11, 9.95, 100.26, 85.08, 42.54
C, 61.95, 3.62, 4.83, 29.41, 123.9, 5.154
B, 53.48, 2.33, 43.17, 71.58, 106.96, 5.093
A, 90.69, 77.18, 23.85, 44.94, 181.38, 90.69
C, 84.35, 3.94, 82.14, 56.03, 168.7, 5.036
B, 70.37, 49.25, 74.94, 32.04, 140.74, 5.802
A, 36.72, 56.19, 63.85, 31.83, 73.44, 36.72
B, 46.83, 66.66, 70.03, 53.09, 93.66, 7.459
B, 94.44, 39.5, 7.74, 83.06, 188.88, 8.598
C, 18.54, 69.45, 62.06, 31.82, 37.08, 12.65
C, 63.46, 26.05, 49.28, 86.39, 126.92, 5.351
C, 57.39, 33.56, 67.03, 52.35, 114.78, 5.487
C, 77.0, 32.55, 20.61, 100.4, 154.0, 6.099
A, 20.62, 100.57, 11.22, 29.11, 41.24, 20.62
B, 94.37, 6.04, 76.62, 73.32, 188.74, 5.026
B, 61.42, 33.18, 5.12, 83.94, 122.84, 10.759
C, 57.67, 45.0, 40.4, 69.03, 115.34, 6.494
C, 94.05, 41.75, 57.47, 8.91, 188.1, 5.55
B, 91.98, 91.59, 68.48, 92.79, 183.96, 7.526
C, 19.86, 59.48, 52.25, 64.53, 39.72, 11.089
B, 47.47, 57.83, 14.86, 62.9, 94.94, 13.426
A, 13.39, 18.98, 34.53, 80.76, 26.78, 13.39
B, 14.95, 84.68, 21.54, 68.37, 29.9, 46.756
A, 58.28, 34.45, 96.26, 83.01, 116.56, 58.28
A, 92.06, 42.58, 15.69, 16.62, 184.12, 92.06
B, 100.07, 19.2, 60.05, 90.35, 200.14, 5.099
B, 52.67, 66.05, 45.48, 2.12, 105.34, 8.3
C, 30.89, 52.31, 24.35, 53.11, 61.78, 11.378
A, 59.72, 19.25, 99.64, 21.08, 119.44, 59.72
C, 80.52, 79.89, 11.0, 24.07, 161.04, 18.402
C, 45.56, 29.55, 59.13, 73.44, 91.12, 5.532
A, 78.83, 16.16, 8.93, 45.62, 157.66, 78.83
B, 64.31, 79.93, 42.21, 22.77, 128.62, 9.379
A, 46.69, 70.18, 46.69, 14.84, 93.38, 46.69
C, 62.79, 48.51, 46.35, 82.05, 125.58, 6.405
B, 35.27, 78.34, 9.63, 62.06, 70.54, 38.51
C, 95.57, 90.92, 95.73, 73.54, 191.14, 6.712
C, 96.66, 22.71, 74.22, 64.14, 193.32, 5.117
A, 70.5, 79.48, 70.26, 62.75, 141.0, 70.5
C, 23.31, 95.17, 1.17, 25.78, 46.62, 638.027
B, 46.31, 68.34, 74.05, 55.12, 92.62, 7.48
C, 29.8, 86.8, 58.61, 64.63, 59.6, 13.12
A, 39.28, 84.37, 80.34, 19.79, 78.56, 39.28
B, 86.37, 59.63, 16.78, 76.08, 172.74, 9.38
A, 100.85, 76.09, 5.1, 82.33, 201.7, 100.85
A, 93.46, 65.53, 93.59, 43.39, 186.92, 93.46
C, 13.43, 54.37, 35.7, 83.37, 26.86, 15.871
B, 84.64, 72.28, 8.67, 100.0, 169.28, 18.055
A, 86.97, 51.82, 46.78, 8.54, 173.94, 86.97
B, 49.63, 11.14, 7.27, 30.03, 99.26, 5.514
C, 55.24, 73.39, 56.81, 51.04, 110.48, 8.156
B, 56.08, 49.96, 42.89, 64.38, 112.16, 6.81
B, 24.51, 8.73, 78.66, 39.08, 49.02, 5.102
A, 92.21, 57.86, 9.9, 44.43, 184.42, 92.21
B, 91.62, 92.01, 25.47, 27.69, 183.24, 11.884
A, 87.25, 20.18, 15.8, 82.42, 174.5, 87.25
A, 48.92, 16.67, 7.96, 10.96, 97.84, 48.92
C, 6.09, 20.93, 8.79, 90.87, 12.18, 17.672
A, 61.18, 20.96, 56.34, 68.97, 122.36, 61.18
B, 63.67, 54.12, 84.16, 12.22, 127.34, 5.965
B, 18.39, 65.28, 13.53, 82.48, 36.78, 35.958
B, 10.98, 40.62, 58.5, 76.4, 21.96, 9.363
B, 4.96, 58.8, 47.2, 7.7, 9.92, 31.329
C, 11.93, 20.07, 94.85, 59.04, 23.86, 5.587
A, 84.79, 15.03, 71.68, 82.53, 169.58, 84.79
C, 38.11, 13.38, 1.96, 21.17, 76.22, 8.518
B, 25.39, 29.77, 50.7, 16.38, 50.78, 6.127
B, 72.96, 67.18, 78.54, 78.0, 145.92, 6.431
A, 8.87, 94.98, 1.65, 17.72, 17.74, 8.87
A, 93.72, 9.29, 12.71, 32.18, 187.44, 93.72
A, 24.23, 33.4, 30.74, 63.4, 48.46, 24.23
A, 39.13, 13.56, 26.2, 90.46, 78.26, 39.13
C, 79.85, 48.17, 41.31, 79.61, 159.7, 6.221
C, 73.03, 93.72, 38.0, 11.31, 146.06, 11.021
C, 86.15, 16.3, 11.44, 78.25, 172.3, 5.413
C, 59.95, 2.4, 61.88, 26.12, 119.9, 5.078
A, 43.73, 4.76, 20.74, 10.05, 87.46, 43.73
C, 97.9, 76.47, 20.12, 77.65, 195.8, 10.488
C, 28.11, 82.19, 36.08, 51.15, 56.22, 17.439
A, 80.01, 74.15, 42.01, 46.05, 160.02, 80.01
A, 48.75, 75.97, 4.09, 42.89, 97.5, 48.75
A, 58.69, 27.61, 56.64, 96.59, 117.38, 58.69
C, 17.47, 39.63, 30.24, 10.88, 34.94, 10.021
A, 29.24, 59.62, 12.48, 55.12, 58.48, 29.24
A, 62.4, 76.51, 77.66, 31.4, 124.8, 62.4
A, 85.58, 73.14, 71.48, 27.9, 171.16, 85.58
B, 57.11, 29.39, 90.38, 4.84, 114.22, 5.276
C, 30.76, 98.28, 1.11, 67.53, 61.52, 546.688
A, 97.92, 88.59, 17.76, 100.96, 195.84, 97.92
A, 70.28, 34.65, 97.11, 57.6, 140.56, 70.28
B, 46.47, 66.56, 65.59, 43.34, 92.94, 7.637
B, 89.54, 4.42, 35.5, 43.63, 179.08, 5.039
B, 45.0, 28.48, 4.81, 65.16, 90.0, 11.036
B, 59.19, 29.62, 4.2, 34.44, 118.38, 10.716
C, 91.98, 14.99, 2.27, 55.67, 183.96, 6.616
C, 18.45, 92.13, 18.88, 16.03, 36.9, 51.239
B, 66.47, 14.2, 19.86, 11.72, 132.94, 5.237
C, 27.8, 26.74, 86.7, 80.06, 55.6, 5.486
B, 68.23, 86.57, 44.7, 29.61, 136.46, 9.623
C, 28.19, 18.66, 3.89, 9.92, 56.38, 9.838
A, 9.2, 29.09, 5.22, 69.43, 18.4, 9.2
A, 88.26, 84.89, 41.64, 33.47, 176.52, 88.26
C, 97.09, 85.92, 89.61, 28.41, 194.18, 6.595
A, 58.57, 93.43, 27.08, 77.37, 117.14, 58.57
A, 80.3, 67.57, 83.99, 71.74, 160.6, 80.3
C, 72.7, 96.03, 89.25, 19.48, 145.4, 7.714
A, 72.51, 98.7, 85.11, 23.64, 145.02, 72.51
A, 12.53, 98.39, 36.8, 1.77, 25.06, 12.53
C, 28.96, 94.91, 52.97, 60.1, 57.92, 16.192
A, 47.23, 57.08, 79.5, 24.73, 94.46, 47.23
A, 26.38, 41.71, 31.15, 9.95, 52.76, 26.38
A, 55.33, 32.99, 75.73, 51.01, 110.66, 55.33
B, 32.99, 98.36, 10.93, 4.18, 65.98, 56.385
C, 74.24, 22.79, 100.47, 54.25, 148.48, 5.115
C, 43.64, 2.76, 6.05, 73.88, 87.28, 5.176
A, 25.52, 53.1, 93.37, 20.94, 51.04, 25.52
A, 96.07, 74.23, 86.99, 51.45, 192.14, 96.07
B, 18.73, 62.58, 81.43, 27.63, 37.46, 9.621
B, 92.57, 61.75, 39.83, 76.16, 185.14, 6.856
A, 84.59, 21.54, 59.95, 31.23, 169.18, 84.59
B, 91.82, 68.76, 43.23, 94.9, 183.64, 7.17
B, 74.65, 36.5, 38.3, 32.54, 149.3, 5.78
B, 6.07, 3.31, 82.8, 20.11, 12.14, 5.527
C, 20.09, 76.6, 20.61, 22.19, 40.18, 31.201
C, 56.46, 86.72, 7.01, 34.95, 112.92, 40.748
C, 72.84, 28.45, 87.52, 18.81, 145.68, 5.209
A, 80.44, 33.02, 20.8, 20.53, 160.88, 80.44
C, 39.0, 14.51, 57.36, 15.13, 78.0, 5.156
C, 11.63, 93.05, 43.67, 85.86, 23.26, 37.401
C, 20.75, 82.1, 100.18, 96.75, 41.5, 11.059
A, 43.48, 79.6, 9.6, 6.25, 86.96, 43.48
A, 87.0, 77.9, 53.83, 89.24, 174.0, 87.0
C, 72.9, 42.47, 26.37, 26.42, 145.8, 6.599
A, 44.27, 98.43, 86.5, 53.9, 88.54, 44.27
B, 71.23, 67.3, 82.39, 83.08, 142.46, 6.403
A, 50.34, 68.58, 6.96, 66.36, 100.68, 50.34
B, 53.16, 71.56, 11.65, 95.13, 106.32, 20.141
A, 84.86, 93.81, 71.27, 66.89, 169.72, 84.86
C, 55.56, 55.38, 55.32, 42.69, 111.12, 6.765
B, 45.67, 7.49, 19.15, 65.95, 91.34, 5.122
C, 23.23, 52.82, 32.3, 37.49, 46.46, 11.529
A, 56.99, 30.37, 86.55, 60.17, 113.98, 56.99
B, 98.76, 54.99, 84.93, 27.02, 197.52, 5.638
B, 10.89, 71.77, 26.56, 6.02, 21.78, 37.628
A, 35.6, 85.46, 95.04, 90.79, 71.2, 35.6
C, 72.65, 39.49, 88.79, 8.38, 145.3, 5.411
A, 35.78, 100.49, 53.08, 73.55, 71.56, 35.78
C, 18.6, 96.9, 65.81, 7.53, 37.2, 19.664
C, 89.92, 84.28, 49.34, 98.34, 179.84, 8.001
C, 48.83, 58.41, 75.91, 75.77, 97.66, 6.641
B, 53.41, 51.06, 48.08, 3.19, 106.82, 6.776
B, 100.04, 76.93, 64.76, 62.9, 200.08, 6.691
A, 34.68, 23.59, 85.11, 23.37, 69.36, 34.68
A, 89.17, 35.33, 31.02, 93.96, 178.34, 89.17
C, 23.94, 34.92, 84.62, 38.55, 47.88, 6.008
C, 53.12, 6.55, 55.44, 9.92, 106.24, 5.051
C, 1.19, 66.18, 51.03, 20.74, 2.38, 135.709
C, 79.77, 62.26, 57.08, 98.49, 159.54, 6.53
A, 53.08, 70.55, 93.8, 32.1, 106.16, 53.08
B, 82.82, 97.71, 74.38, 61.55, 165.64, 7.967
B, 42.57, 93.43, 81.77, 65.14, 85.14, 9.77
C, 80.72, 15.06, 95.28, 4.95, 161.44, 5.052
A, 58.21, 73.3, 79.37, 34.02, 116.42, 58.21
B, 89.6, 58.53, 74.08, 56.1, 179.2, 5.92
A, 9.17, 78.39, 43.33, 23.79, 18.34, 9.17
C, 58.24, 3.37, 98.87, 83.33, 116.48, 5.056
B, 99.04, 93.54, 79.74, 33.13, 198.08, 7.108
B, 86.29, 5.84, 63.24, 54.19, 172.58, 5.031
B, 99.22, 15.67, 70.7, 100.01, 198.44, 5.059
A, 61.61, 16.78, 69.77, 63.43, 123.22, 61.61
B, 6.03, 56.09, 97.28, 16.39, 12.06, 14.515
C, 100.78, 83.37, 87.22, 46.7, 201.56, 6.481
C, 98.44, 9.44, 61.79, 63.08, 196.88, 5.033
B, 13.74, 19.15, 82.61, 35.55, 27.48, 5.529
A, 87.28, 31.73, 69.63, 20.3, 174.56, 87.28
A, 85.96, 99.27, 34.38, 2.39, 171.92, 85.96
C, 10.28, 35.22, 78.87, 99.32, 20.56, 7.561
B, 44.36, 71.69, 20.44, 20.6, 88.72, 15.383
A, 23.01, 10.56, 74.96, 9.24, 46.02, 23.01
B, 54.33, 10.61, 3.37, 46.99, 108.66, 5.904
A, 75.01, 30.27, 7.96, 50.81, 150.02, 75.01
A, 46.67, 11.28, 75.46, 75.68, 93.34, 46.67
B, 63.38, 15.2, 29.3, 83.32, 126.76, 5.196
A, 78.47, 92.48, 46.17, 99.26, 156.94, 78.47
B, 81.14, 21.25, 13.98, 67.26, 162.28, 5.623
C, 60.49, 23.93, 40.23, 31.69, 120.98, 5.377
C, 66.9, 86.5, 22.14, 37.53, 133.8, 14.502
A, 38.09, 58.28, 25.69, 90.75, 76.18, 38.09
C, 2.77, 87.26, 26.35, 95.85, 5.54, 201.457
C, 27.7, 84.81, 48.45, 18.25, 55.4, 15.055
A, 60.99, 15.44, 56.53, 54.13, 121.98, 60.99
A, 21.76, 36.97, 51.23, 49.57, 43.52, 21.76
B, 9.5, 10.18, 13.82, 45.41, 19.0, 6.207
C, 16.0, 57.14, 8.73, 35.99, 32.0, 46.462
C, 97.74, 33.49, 33.52, 23.93, 195.48, 5.567
A, 7.67, 52.66, 47.7, 94.35, 15.34, 7.67
A, 60.57, 84.6, 75.37, 75.16, 121.14, 60.57
C, 19.22, 59.4, 18.89, 62.31, 38.44, 22.337
C, 100.0, 54.8, 9.28, 48.28, 200.0, 10.708
A, 16.13, 83.42, 24.58, 38.17, 32.26, 16.13
C, 76.69, 77.71, 9.9, 13.13, 153.38, 19.735
B, 4.72, 85.0, 14.2, 71.43, 9.44, 207.234
C, 73.58, 75.22, 36.15, 36.09, 147.16, 8.924
B, 96.27, 27.05, 49.06, 49.83, 192.54, 5.252
A, 70.21, 53.15, 2.16, 15.98, 140.42, 70.21
A, 18.89, 91.74, 99.29, 97.3, 37.78, 18.89
C, 3.88, 1.17, 52.98, 16.58, 7.76, 7.226
C, 3.51, 91.03, 3.51, 3.39, 7.02, 1279.01
A, 15.66, 74.35, 23.74, 66.91, 31.32, 15.66
A, 96.57, 86.87, 33.03, 99.67, 193.14, 96.57
C, 5.05, 77.29, 80.06, 94.81, 10.1, 32.371
C, 25.79, 82.39, 22.65, 11.98, 51.58, 26.707
B, 13.75, 3.8, 72.59, 5.15, 27.5, 5.212
B, 23.69, 78.67, 28.3, 63.52, 47.38, 22.134
C, 49.17, 41.02, 31.27, 15.02, 98.34, 6.857
C, 82.43, 98.87, 26.71, 55.35, 164.86, 13.51
A, 51.75, 22.21, 77.43, 78.58, 103.5, 51.75
C, 57.96, 53.18, 13.85, 64.42, 115.92, 11.189
C, 50.69, 74.72, 92.57, 39.37, 101.38, 7.194
C, 83.86, 41.85, 44.44, 80.32, 167.72, 5.801
C, 47.85, 9.62, 98.93, 77.94, 95.7, 5.05
B, 38.35, 93.9, 5.6, 24.11, 76.7, 83.112
B, 51.94, 6.71, 30.13, 61.06, 103.88, 5.071
A, 58.17, 69.2, 18.15, 33.7, 116.34, 58.17
A, 59.85, 97.27, 94.32, 61.58, 119.7, 59.85
A, 47.95, 76.47, 5.29, 47.01, 95.9, 47.95
A, 100.95, 53.99, 60.28, 88.27, 201.9, 100.95
C, 64.85, 77.44, 54.3, 26.91, 129.7, 8.155
B, 26.4, 63.49, 67.61, 74.9, 52.8, 9.071
B, 8.11, 33.65, 28.78, 14.78, 16.22, 13.019
B, 98.94, 34.12, 74.6, 26.1, 197.88, 5.263
B, 33.11, 16.94, 58.35, 34.43, 66.22, 5.241
C, 74.58, 88.29, 26.75, 21.29, 149.16, 12.371
B, 31.93, 10.66, 64.01, 79.88, 63.86, 5.109
A, 72.14, 86.07, 12.77, 31.96, 144.28, 72.14
B, 74.64, 6.04, 43.21, 90.71, 149.28, 5.041
B, 82.97, 71.64, 93.49, 88.88, 165.94, 6.213
B, 37.74, 92.24, 49.4, 65.35, 75.48, 13.663
C, 20.67, 89.71, 65.85, 51.41, 41.34, 16.182
A, 68.44, 1.46, 58.05, 51.53, 136.88, 68.44
C, 38.9, 9.91, 1.95, 42.74, 77.8, 6.869
C, 74.99, 96.56, 92.28, 80.99, 149.98, 7.575
B, 15.77, 67.07, 66.68, 40.97, 31.54, 12.77
C, 6.9, 85.28, 89.1, 11.01, 13.8, 27.218
B, 54.75, 30.32, 82.26, 94.56, 109.5, 5.337
C, 98.55, 55.66, 15.55, 20.92, 197.1, 8.575
A, 40.89, 50.35, 47.95, 42.39, 81.78, 40.89
C, 64.5, 65.69, 7.88, 18.62, 129.0, 20.36
B, 56.6, 82.05, 65.28, 78.5, 113.2, 8.403
B, 96.94, 61.68, 34.43, 3.12, 193.88, 7.045
A, 2.58, 73.0, 90.43, 77.56, 5.16, 2.58
B, 8.45, 99.72, 76.43, 67.86, 16.9, 34.555
C, 89.05, 27.79, 69.99, 44.04, 178.1, 5.203
C, 31.93, 21.12, 49.75, 50.52, 63.86, 5.448
A, 79.73, 28.82, 49.27, 37.19, 159.46, 79.73
B, 63.64, 45.11, 53.98, 24.98, 127.28, 6.02
A, 78.91, 59.15, 23.48, 6.77, 157.82, 78.91
C, 21.24, 3.41, 36.62, 3.52, 42.48, 5.164
B, 18.99, 13.97, 15.56, 94.65, 37.98, 6.002
C, 85.13, 88.09, 7.77, 56.58, 170.26, 27.12
A, 94.53, 47.97, 52.87, 74.92, 189.06, 94.53
B, 61.28, 28.66, 76.13, 71.22, 122.56, 5.289
C, 57.64, 34.01, 2.19, 23.75, 115.28, 20.116
A, 9.7, 14.62, 83.3, 83.8, 19.4, 9.7
A, 60.02, 17.94, 69.68, 87.49, 120.04, 60.02
B, 7.59, 41.1, 46.46, 77.53, 15.18, 13.14
B, 75.28, 49.37, 71.0, 96.15, 150.56, 5.795
B, 97.05, 13.11, 70.12, 27.06, 194.1, 5.045
C, 46.06, 36.96, 93.47, 93.05, 92.12, 5.535
B, 24.89, 57.97, 54.14, 12.37, 49.78, 9.438
C, 80.11, 44.88, 27.55, 100.22, 160.22, 6.568
C, 28.09, 68.03, 52.63, 58.27, 56.18, 10.696
B, 62.58, 79.21, 88.73, 24.6, 125.16, 7.101
A, 18.8, 74.56, 52.39, 90.47, 37.6, 18.8
A, 73.73, 48.36, 51.83, 86.36, 147.46, 73.73
A, 79.94, 80.47, 89.6, 81.18, 159.88, 79.94
A, 20.64, 27.97, 76.63, 2.39, 41.28, 20.64
B, 16.83, 29.89, 56.62, 7.56, 33.66, 6.537
A, 25.25, 4.16, 71.73, 26.38, 50.5, 25.25
A, 6.18, 14.52, 31.56, 45.74, 12.36, 6.18
A, 35.0, 88.04, 31.36, 92.54, 70.0, 35.0
C, 83.97, 4.5, 22.67, 53.89, 167.94, 5.049
B, 89.15, 36.51, 33.76, 50.58, 178.3, 5.741
C, 37.07, 78.54, 23.96, 90.92, 74.14, 17.887
B, 98.0, 87.34, 24.26, 63.09, 196.0, 11.044
A, 47.25, 61.71, 91.48, 26.0, 94.5, 47.25
C, 72.88, 64.88, 22.39, 87.46, 145.76, 9.66
B, 88.43, 18.37, 18.98, 46.66, 176.86, 5.313
A, 67.34, 13.71, 76.3, 91.49, 134.68, 67.34
C, 8.72, 89.16, 98.55, 63.47, 17.44, 22.483
B, 66.97, 38.69, 87.28, 15.54, 133.94, 5.434
A, 4.42, 60.5, 87.5, 76.38, 8.84, 4.42
A, 46.72, 22.3, 87.57, 97.46, 93.44, 46.72
B, 10.56, 16.79, 20.25, 44.02, 21.12, 7.025
A, 74.56, 53.16, 36.24, 52.5, 149.12, 74.56
A, 52.24, 54.4, 56.59, 10.56, 104.48, 52.24
A, 27.09, 33.6, 71.07, 90.55, 54.18, 27.09
B, 72.53, 3.47, 98.07, 71.83, 145.06, 5.045
A, 29.51, 79.14, 15.53, 97.57, 59.02, 29.51
B, 58.63, 34.01, 49.85, 13.63, 117.26, 5.658
B, 15.21, 48.65, 60.8, 42.38, 30.42, 9.45
A, 49.39, 9.91, 36.07, 23.63, 98.78, 49.39
B, 82.74, 53.48, 89.54, 33.5, 165.48, 5.681
A, 99.13, 92.36, 73.85, 34.98, 198.26, 99.13
C, 97.34, 91.35, 75.57, 48.73, 194.68, 7.151
C, 12.6, 74.33, 48.46, 29.98, 25.2, 21.665
C, 26.34, 18.74, 83.49, 19.47, 52.68, 5.263
B, 76.85, 31.04, 64.78, 90.39, 153.7, 5.319
A, 99.93, 17.42, 36.16, 53.5, 199.86, 99.93
B, 49.94, 68.75, 68.98, 50.52, 99.88, 7.501
C, 7.3, 17.86, 98.72, 56.41, 14.6, 5.743
B, 29.93, 48.44, 28.93, 53.8, 59.86, 9.702
C, 26.73, 60.01, 8.5, 56.15, 53.46, 33.31
A, 45.98, 57.54, 88.58, 84.64, 91.96, 45.98
B, 49.69, 92.2, 26.92, 8.49, 99.38, 17.062
A, 87.59, 62.14, 46.35, 29.36, 175.18, 87.59
A, 21.27, 43.81, 51.9, 8.8, 42.54, 21.27
B, 85.3, 61.22, 72.08, 82.03, 170.6, 6.094
B, 49.56, 69.53, 80.39, 85.17, 99.12, 7.215
C, 87.92, 47.11, 29.18, 37.46, 175.84, 6.496
B, 45.11, 5.56, 9.98, 62.95, 90.22, 5.145
B, 42.01, 16.91, 95.43, 45.86, 84.02, 5.121
C, 23.62, 77.95, 91.07, 89.25, 47.24, 10.24
B, 60.04, 27.15, 4.75, 45.87, 120.08, 9.139
C, 38.83, 53.93, 34.75, 60.43, 77.66, 8.796
A, 35.8, 2.2, 89.39, 77.57, 71.6, 35.8
B, 10.43, 7.56, 11.08, 24.05, 20.86, 5.797
A, 95.84, 81.28, 82.85, 90.75, 191.68, 95.84
A, 97.93, 37.89, 97.17, 11.34, 195.86, 97.93
B, 30.32, 18.88, 90.65, 39.51, 60.64, 5.215
B, 91.86, 49.12, 15.16, 13.04, 183.72, 8.011
C, 15.36, 57.01, 2.31, 76.62, 30.72, 167.398
A, 25.03, 4.06, 17.99, 73.12, 50.06, 25.03
C, 40.47, 82.41, 80.85, 90.23, 80.94, 8.88
C, 42.61, 53.01, 21.44, 55.97, 85.22, 10.402
A, 94.15, 1.59, 82.54, 20.08, 188.3, 94.15
C, 49.63, 82.9, 89.19, 72.66, 99.26, 7.905
C, 57.01, 78.24, 64.77, 48.56, 114.02, 8.076
C, 22.6, 17.73, 40.26, 1.68, 45.2, 5.545
A, 49.43, 7.9, 64.19, 14.95, 98.86, 49.43
B, 53.66, 60.03, 97.75, 10.92, 107.32, 6.23
B, 37.29, 86.69, 53.99, 76.24, 74.58, 12.025
C, 75.13, 50.89, 86.81, 96.93, 150.26, 5.696
C, 38.49, 15.72, 41.23, 2.24, 76.98, 5.248
A, 41.66, 17.78, 75.67, 41.01, 83.32, 41.66
C, 72.23, 18.19, 79.66, 56.84, 144.46, 5.095
A, 33.66, 71.21, 15.9, 52.74, 67.32, 33.66
C, 53.13, 91.42, 39.14, 26.16, 106.26, 12.619
B, 81.57, 41.66, 23.5, 83.2, 163.14, 6.539
B, 13.43, 37.15, 64.58, 93.99, 26.86, 7.675
B, 45.32, 51.48, 44.73, 55.39, 90.64, 7.289
C, 6.24, 18.96, 63.6, 71.66, 12.48, 6.459
A, 39.37, 74.48, 17.12, 3.02, 78.74, 39.37
A, 63.82, 34.54, 28.16, 58.57, 127.64, 63.82
B, 94.18, 31.18, 54.02, 83.77, 188.36, 5.315
B, 16.82, 96.67, 1.09, 22.49, 33.64, 978.735
A, 18.58, 50.08, 79.78, 96.78, 37.16, 18.58
C, 69.92, 50.31, 80.5, 73.28, 139.84, 5.786
B, 18.3, 40.73, 10.36, 68.1, 36.6, 19.806
B, 85.78, 73.52, 18.01, 56.05, 171.56, 11.432
A, 92.4, 95.37, 61.99, 2.56, 184.8, 92.4
C, 72.79, 16.98, 31.32, 21.43, 145.58, 5.199
A, 40.16, 88.96, 4.84, 55.23, 80.32, 40.16
C, 46.77, 1.55, 98.36, 1.32, 93.54, 5.145
C, 89.36, 77.87, 49.18, 38.38, 178.72, 7.558
C, 54.52, 59.19, 59.37, 69.87, 109.04, 6.932
B, 77.04, 98.49, 35.31, 1.3, 154.08, 11.832
B, 17.81, 55.27, 11.75, 20.03, 35.62, 30.775
C, 18.11, 34.88, 87.79, 8.47, 36.22, 6.281
C, 18.65, 51.33, 45.98, 69.71, 37.3, 10.377
C, 57.22, 42.51, 95.77, 85.98, 114.44, 5.565
B, 83.53, 75.11, 92.14, 57.89, 167.06, 6.353
B, 8.51, 98.74, 95.38, 5.68, 17.02, 28.027
B, 15.29, 39.82, 98.14, 56.86, 30.58, 6.797
B, 72.85, 9.25, 48.28, 63.81, 145.7, 5.05
A, 8.55, 77.15, 32.72, 82.11, 17.1, 8.55
C, 38.38, 64.96, 42.64, 91.53, 76.76, 9.661
C, 47.78, 84.07, 42.73, 58.41, 95.56, 11.486
C, 99.05, 23.25, 19.19, 61.67, 198.1, 5.451
B, 67.15, 55.4, 19.87, 94.39, 134.3, 9.065
B, 54.09, 28.41, 60.38, 98.3, 108.18, 5.404
B, 31.34, 68.6, 34.56, 54.6, 62.68, 12.912
C, 72.32, 25.76, 17.93, 75.99, 144.64, 5.818
B, 9.74, 69.12, 31.12, 71.63, 19.48, 33.729
A, 36.07, 87.68, 62.48, 80.61, 72.14, 36.07
A, 86.77, 99.49, 48.55, 41.7, 173.54, 86.77
C, 90.65, 34.82, 6.66, 68.24, 181.3, 8.327
A, 90.29, 5.46, 5.03, 56.0, 180.58, 90.29
B, 27.63, 22.07, 98.81, 48.75, 55.26, 5.293
B, 78.04, 54.5, 20.72, 57.1, 156.08, 8.239
B, 42.81, 36.11, 81.1, 76.97, 85.62, 5.631
A, 38.38, 70.24, 73.17, 6.83, 76.76, 38.38
B, 90.74, 10.01, 28.59, 12.5, 181.48, 5.068
A, 67.6, 50.51, 62.04, 14.9, 135.2, 67.6
A, 65.69, 91.31, 30.05, 77.98, 131.38, 65.69
A, 40.72, 53.21, 2.38, 66.32, 81.44, 40.72
A, 6.07, 91.3, 11.58, 55.87, 12.14, 6.07
C, 68.91, 9.19, 49.52, 3.99, 137.82, 5.052
C, 79.47, 70.2, 23.72, 17.04, 158.94, 9.775
C, 69.17, 100.1, 61.25, 5.6, 138.34, 9.542
C, 94.02, 71.53, 99.37, 74.21, 188.04, 6.004
A, 12.83, 51.18, 24.63, 16.36, 25.66, 12.83
A, 41.02, 6.42, 18.15, 34.45, 82.04, 41.02
A, 32.89, 77.87, 61.08, 78.85, 65.78, 32.89
A, 79.48, 22.76, 86.0, 9.46, 158.96, 79.48
B, 83.06, 70.44, 47.68, 16.72, 166.12, 7.29
C, 32.73, 7.89, 75.76, 30.21, 65.46, 5.074
C, 7.3, 70.01, 52.43, 38.87, 14.6, 28.391
C, 43.88, 6.62, 10.67, 18.96, 87.76, 5.171
A, 89.85, 23.99, 40.17, 13.85, 179.7, 89.85
A, 3.31, 99.32, 21.01, 92.24, 6.62, 3.31
B, 91.64, 19.63, 81.09, 8.98, 183.28, 5.085
C, 28.08, 98.27, 58.46, 85.03, 56.16, 16.268
B, 17.13, 35.91, 48.11, 34.92, 34.26, 7.615
C, 94.7, 49.58, 76.76, 51.84, 189.4, 5.59
C, 23.06, 47.38, 41.34, 94.86, 46.12, 9.076
C, 46.08, 55.28, 8.15, 93.11, 92.16, 19.368
C, 3.07, 38.64, 87.54, 62.75, 6.14, 14.405
